indicatorType,fileHashValue,emailSenderAddress,networkIPv4,url,domainName,FileCreatedDateTime,action,activityGroupNames,additionalInformation,confidence,description,expirationDateTime,externalId,indicatorProvider,killChain,malwareFamilyNames,severity,tags,targetProduct,threatType,tlpLevel
URL,,,,http://152.89.239.4/x86_64,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,hjhqmbxyinislkkt.1fttxm.top,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,vpuroeit.pw,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,52uo5k3t73ypjije.j92msu.top,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,hjhqmbxyinislkkt.1dvqvh.top,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,4kqd3hmqgptupi3p.holescase.pw,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,3qbyaoohkcqkzrz6.torcommunity.ch,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,wjtqjleommc4z46i.kyjw0g.bid,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,lrmficvqs.pw,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,pmenboeqhyrpvomq.paypoints.red,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Domain,,,,,gnsquwmgukkpgpt.pw,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,8AC691925560C06137C8C6916EF91F528E9AAB0BA5B9D13A76871DA353A807B2,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,A44E9205AA17CF6C283C055A7AFFFFD05BF163C837C47819BDBA63114B901975,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,15E4D6E93ED51E357B711AAD256259335F50D65BA615358A84C82B42D494FD85,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,0D5E313C6B639F0C9E9B45FCD76A9C6641EDCD3A2A87A51AA2ABA8534D4FFC44,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,8E6450355434A1CCD54D12FF7A96F0F137D4722A31A0C55CAB0336B0024C78E5,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,92D4A4BD8B0495231C231B78A1CC60421F8AB1E91682622DF674E20968041AAD,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,1BCB3D63CFDDABB81BABE58F9FC4E45A3F32621DF8DB1991FD8F6819C7EF7F60,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,56FF731AC45BD95082663DA70FC6CDB4560E5F84FC2BA36317CB7836A1534B3A,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,B4925FF5EA42FF7A90E6F68A667412BE32CE0BD9D59E88E9F2ECF5B1BEF957FD,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,5EAA69E4FE26EA90C90190EC02CE2529C21EFD90D1754A47CA9CAC1DE3EAAF7C,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,387587286693F74A921032A65C22FC6103B6E93CEA7F4F0D79693C155766EA10,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,B4516F02CF616BA461F15F81194660C5CE509A101E84B70277CA7345A22FEADE,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha256,2C5BCC2C78B8D079BE96EC444932427CF9E6AAAA4CB4117D1DC7E5C25506981F,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
